iter	Passed	Remaining
934	55310	3845
935	55372	3786
936	55432	3727
937	55490	3667
938	55546	3608
939	55602	3549
940	55659	3489
941	55716	3430
942	55773	3371
943	55830	3311
944	55886	3252
945	55943	3193
946	55999	3134
947	56056	3074
948	56111	3015
949	56167	2956
950	56222	2896
951	56279	2837
952	56336	2778
953	56393	2719
954	56449	2659
955	56505	2600
956	56561	2541
957	56615	2482
958	56671	2422
959	56726	2363
960	56782	2304
961	56837	2245
962	56893	2185
963	56948	2126
964	57004	2067
965	57061	2008
966	57119	1949
967	57181	1890
968	57242	1831
969	57302	1772
970	57358	1713
971	57413	1653
972	57477	1594
973	57540	1535
974	57600	1476
975	57658	1417
976	57714	1358
977	57770	1299
978	57825	1240
979	57881	1181
980	57937	1122
981	57992	1062
982	58048	1003
983	58104	944
984	58159	885
985	58215	826
986	58270	767
987	58326	708
988	58381	649
989	58436	590
990	58492	531
991	58547	472
992	58602	413
993	58659	354
994	58715	295
995	58771	236
996	58826	177
997	58883	118
998	58939	58
999	58996	0
